ride_id,user_id,driver_id,vehicle_id,start_location,end_location,start_date,start_hour,end_date,end_hour,distance_km,fare_amount
89,6629,222,149,Casablanca (CMN),Bouskoura,2024-08-17,0,2024-08-17,1,20.48,78.68
90,9919,266,255,Casablanca (CMN),Anfa,2024-01-31,8,2024-01-31,9,32.19,119.66
91,3769,278,152,Casablanca (CMN),Bouskoura,2024-04-05,6,2024-04-05,6,21.1,80.85
92,1697,156,106,Casablanca (CMN),Bouskoura,2024-06-24,18,2024-06-24,19,21.71,82.98
93,4613,175,126,Oujda (OUD),Al Qods,2024-03-16,6,2024-03-16,6,10.84,44.94
94,9471,258,20,Marrakech (RAK),Targa,2024-03-24,9,2024-03-24,9,10.67,44.34
95,3530,239,132,Casablanca (CMN),Anfa,2024-09-29,18,2024-09-29,19,32.37,120.29
96,3553,47,292,Dakhla (VIL),PK25,2024-05-27,10,2024-05-27,11,31.56,117.46
97,4344,174,144,Casablanca (CMN),Mohammedia,2024-06-28,0,2024-06-28,1,30.33,113.16
98,6359,232,133,Rabat-Salé (RBA),Hay Riad,2024-08-18,2,2024-08-18,2,17.54,68.39
99,8842,32,115,Nador (NDR),Beni Ensar,2024-04-27,15,2024-04-27,15,31.08,115.78
100,7108,63,274,Marrakech (RAK),Medina,2024-02-21,4,2024-02-21,4,6.8,30.8
101,4599,82,173,Laayoune (EUN),Foum El Oued,2024-06-13,0,2024-06-13,1,21.58,82.53
102,7436,207,230,Fes (FEZ),Saiss district,2024-07-23,11,2024-07-23,11,6.04,28.14
103,7275,13,23,Dakhla (VIL),PK25,2024-04-04,8,2024-04-04,9,29.79,111.26
104,3177,121,198,Marrakech (RAK),Targa,2024-04-07,2,2024-04-07,3,13.69,54.92
105,8009,159,179,Dakhla (VIL),Port Dakhla,2024-03-17,3,2024-03-17,3,9.47,40.15
106,1808,250,39,Tangier (TNG),Gzenaya,2024-07-04,21,2024-07-04,21,7.08,31.78
107,5011,241,289,Laayoune (EUN),Foum El Oued,2024-07-25,21,2024-07-25,21,24.51,92.79
108,2813,159,179,Fes (FEZ),Ville Nouvelle,2024-06-23,8,2024-06-23,8,12.76,51.66
109,2370,75,132,Agadir (AGA),Ait Melloul,2024-09-11,6,2024-09-11,7,11.46,47.11
110,2034,10,152,Casablanca (CMN),Maarif,2024-09-22,0,2024-09-22,0,25.8,97.3
111,133,49,129,Oujda (OUD),Lazaret,2024-01-15,1,2024-01-15,2,15.52,61.32
112,6003,24,37,Fes (FEZ),Batha,2024-03-05,19,2024-03-05,19,19.21,74.24
113,2140,174,144,Dakhla (VIL),PK25,2024-04-21,4,2024-04-21,5,30.53,113.86
114,6451,164,21,Rabat-Salé (RBA),Temara,2024-01-02,21,2024-01-02,22,20.72,79.52
115,7993,17,80,Casablanca (CMN),Bouskoura,2024-09-09,18,2024-09-09,19,22.78,86.73
116,1174,196,235,Oujda (OUD),Lazaret,2024-09-14,9,2024-09-14,10,17.99,69.96
117,964,284,271,Fes (FEZ),Batha,2024-08-31,21,2024-08-31,21,17.26,67.41
118,8978,100,157,Oujda (OUD),Berkane,2024-03-17,20,2024-03-17,21,64.62,233.17
119,3029,4,49,Marrakech (RAK),Medina,2024-09-11,11,2024-09-11,11,5.6,26.6
120,2979,283,254,Tangier (TNG),Gzenaya,2024-06-06,3,2024-06-06,3,8.86,38.01
121,650,40,48,Marrakech (RAK),Targa,2024-02-04,21,2024-02-04,21,10.12,42.42
122,1136,68,67,Agadir (AGA),Inezgane,2024-06-23,22,2024-06-23,22,15.09,59.82
123,529,55,145,Fes (FEZ),Batha,2024-06-12,0,2024-06-12,1,16.78,65.73
124,5545,137,85,Tangier (TNG),Malabata,2024-07-24,19,2024-07-24,19,13.36,53.76
125,2846,264,63,Oujda (OUD),Lazaret,2024-04-01,14,2024-04-01,14,13.67,54.84
126,3594,164,21,Rabat-Salé (RBA),Temara,2024-05-01,0,2024-05-01,0,25.16,95.06
127,7813,217,69,Fes (FEZ),Saiss district,2024-01-27,4,2024-01-27,4,6.38,29.33
128,5207,174,144,Laayoune (EUN),Foum El Oued,2024-05-27,1,2024-05-27,1,21.91,83.68
129,2281,37,232,Casablanca (CMN),Anfa,2024-09-07,2,2024-09-07,3,30.6,114.1
130,326,17,80,Agadir (AGA),Talborjt,2024-09-04,19,2024-09-04,19,21.66,82.81
131,7517,211,111,Marrakech (RAK),Medina,2024-02-17,1,2024-02-17,1,6.31,29.08
132,6740,62,283,Dakhla (VIL),PK25,2024-01-06,11,2024-01-06,12,31.95,118.82
133,4603,99,229,Agadir (AGA),Taghazout,2024-04-28,3,2024-04-28,4,45.44,166.04
134,8729,127,52,Tangier (TNG),Port Tanger Ville,2024-08-22,19,2024-08-22,19,16.7,65.45
135,3192,20,293,Tangier (TNG),Cap Spartel,2024-04-01,15,2024-04-01,15,16.95,66.32
136,6760,16,287,Agadir (AGA),Inezgane,2024-06-30,13,2024-06-30,13,16.22,63.77
137,4778,230,256,Tangier (TNG),Port Tanger Ville,2024-06-23,8,2024-06-23,9,19.1,73.85
138,6358,26,171,Oujda (OUD),Lazaret,2024-06-30,17,2024-06-30,17,15.07,59.74
139,56,48,180,Agadir (AGA),Ait Melloul,2024-03-25,9,2024-03-25,9,14.53,57.86
140,115,103,165,Oujda (OUD),Berkane,2024-05-08,9,2024-05-08,10,57.04,206.64
141,2631,162,188,Casablanca (CMN),Mohammedia,2024-02-14,10,2024-02-14,12,32.08,119.28
142,8491,190,59,Marrakech (RAK),Gueliz,2024-07-12,17,2024-07-12,17,8.11,35.38
143,7284,40,48,Rabat-Salé (RBA),Temara,2024-02-22,7,2024-02-22,7,25.66,96.81
144,1995,50,81,Agadir (AGA),Ait Melloul,2024-04-16,21,2024-04-16,21,13.5,54.25
145,3970,262,186,Casablanca (CMN),Bouskoura,2024-06-30,1,2024-06-30,2,17.29,67.52
146,7409,214,113,Marrakech (RAK),Palmeraie,2024-08-23,19,2024-08-23,20,17.5,68.25
147,8463,292,73,Nador (NDR),Beni Ensar,2024-03-19,0,2024-03-19,1,25.15,95.02
148,2934,173,190,Tangier (TNG),Port Tanger Ville,2024-06-01,16,2024-06-01,16,17.17,67.1
149,758,237,77,Casablanca (CMN),Anfa,2024-07-20,19,2024-07-20,20,34.6,128.1
150,4262,147,174,Marrakech (RAK),Medina,2024-06-18,7,2024-06-18,7,6.84,30.94
151,5505,177,95,Laayoune (EUN),Foum El Oued,2024-07-30,8,2024-07-30,9,19.43,75.0
152,627,176,23,Nador (NDR),Beni Ensar,2024-01-30,11,2024-01-30,11,28.78,107.73
153,4731,32,115,Oujda (OUD),Berkane,2024-07-21,1,2024-07-21,2,58.12,210.42
154,491,293,201,Dakhla (VIL),Port Dakhla,2024-06-16,4,2024-06-16,4,7.19,32.17
155,4361,219,101,Marrakech (RAK),Medina,2024-06-01,15,2024-06-01,15,4.22,21.77
156,1080,214,113,Nador (NDR),Selouane,2024-05-12,23,2024-05-12,23,14.27,56.94
157,4708,250,39,Marrakech (RAK),Targa,2024-05-18,18,2024-05-18,19,10.12,42.42
158,4836,195,105,Casablanca (CMN),Anfa,2024-05-10,7,2024-05-10,8,37.32,137.62
159,112,281,210,Nador (NDR),Beni Ensar,2024-09-14,17,2024-09-14,18,31.69,117.92
160,7813,47,292,Casablanca (CMN),Bouskoura,2024-10-02,12,2024-10-02,13,16.91,66.18
161,8150,250,39,Oujda (OUD),Lazaret,2024-02-04,1,2024-02-04,1,12.83,51.9
162,8424,67,201,Nador (NDR),Beni Ensar,2024-06-19,5,2024-06-19,5,26.18,98.63
163,5229,229,217,Rabat-Salé (RBA),Agdal,2024-05-14,4,2024-05-14,5,14.87,59.04
164,8468,164,21,Rabat-Salé (RBA),Hay Riad,2024-01-11,18,2024-01-11,19,17.03,66.6
165,4770,88,270,Agadir (AGA),Talborjt,2024-02-07,0,2024-02-07,0,25.33,95.66
166,7162,17,80,Nador (NDR),Selouane,2024-06-05,11,2024-06-05,12,12.4,50.4
167,7435,126,256,Oujda (OUD),Lazaret,2024-09-03,13,2024-09-03,13,15.88,62.58
168,9823,14,169,Marrakech (RAK),Medina,2024-07-12,20,2024-07-12,20,4.13,21.46
169,5333,88,270,Oujda (OUD),Al Qods,2024-09-07,23,2024-09-07,23,11.21,46.24
170,9871,242,248,Tangier (TNG),Cap Spartel,2024-02-18,0,2024-02-18,1,18.22,70.77
171,1527,170,242,Laayoune (EUN),Foum El Oued,2024-03-24,11,2024-03-24,12,24.42,92.47
172,2174,127,52,Nador (NDR),Beni Ensar,2024-02-28,10,2024-02-28,10,26.59,100.06
173,4366,104,253,Casablanca (CMN),Anfa,2024-01-16,21,2024-01-16,21,32.36,120.26
174,5379,62,283,Oujda (OUD),Lazaret,2024-06-16,0,2024-06-16,0,13.13,52.96
175,7796,206,101,Agadir (AGA),Inezgane,2024-05-30,16,2024-05-30,17,20.97,80.4
176,5261,88,270,Agadir (AGA),Ait Melloul,2024-08-05,4,2024-08-05,4,10.48,43.68
177,8395,110,261,Marrakech (RAK),Medina,2024-02-20,20,2024-02-20,20,7.68,33.88
178,8985,242,248,Agadir (AGA),Taghazout,2024-03-24,5,2024-03-24,6,36.72,135.52
179,7822,86,3,Agadir (AGA),Inezgane,2024-05-06,9,2024-05-06,10,19.89,76.62
180,9638,126,256,Casablanca (CMN),Bouskoura,2024-06-09,1,2024-06-09,2,18.36,71.26
181,9625,18,142,Dakhla (VIL),PK25,2024-01-31,9,2024-01-31,10,26.48,99.68
182,1009,13,23,Tangier (TNG),Port Tanger Ville,2024-01-18,18,2024-01-18,19,15.1,59.85
183,9175,55,145,Tangier (TNG),Cap Spartel,2024-03-30,0,2024-03-30,1,15.1,59.85
184,1129,212,168,Casablanca (CMN),Bouskoura,2024-01-30,7,2024-01-30,8,21.7,82.95
185,6059,156,106,Nador (NDR),Selouane,2024-01-08,10,2024-01-08,10,14.12,56.42
186,9921,228,91,Casablanca (CMN),Mohammedia,2024-06-22,6,2024-06-22,7,30.75,114.62
187,7335,281,210,Tangier (TNG),Malabata,2024-07-02,1,2024-07-02,1,14.65,58.28
188,4737,71,167,Agadir (AGA),Taghazout,2024-02-26,22,2024-02-27,0,48.88,178.08
189,556,216,88,Dakhla (VIL),PK25,2024-04-01,22,2024-04-01,23,30.93,115.26
190,8275,256,108,Marrakech (RAK),Palmeraie,2024-05-01,13,2024-05-01,13,12.51,50.78
191,7376,203,114,Casablanca (CMN),Maarif,2024-07-18,11,2024-07-18,12,24.09,91.32
192,7966,226,66,Laayoune (EUN),Foum El Oued,2024-02-13,19,2024-02-13,20,23.78,90.23
193,789,248,20,Tangier (TNG),Cap Spartel,2024-04-12,19,2024-04-12,20,15.94,62.79
194,7603,219,101,Marrakech (RAK),Palmeraie,2024-08-03,15,2024-08-03,16,13.16,53.06
195,5563,129,283,Fes (FEZ),Ville Nouvelle,2024-09-10,17,2024-09-10,17,14.2,56.7
196,9075,157,283,Marrakech (RAK),Medina,2024-01-28,20,2024-01-28,20,6.43,29.5
197,2613,150,229,Oujda (OUD),Berkane,2024-01-09,13,2024-01-09,14,57.75,209.12
198,9452,7,288,Rabat-Salé (RBA),Temara,2024-06-03,6,2024-06-03,7,21.05,80.68
199,4498,93,106,Laayoune (EUN),Foum El Oued,2024-04-07,9,2024-04-07,9,23.57,89.5
200,6233,194,68,Marrakech (RAK),Palmeraie,2024-04-20,22,2024-04-20,22,12.05,49.18
201,5732,51,207,Tangier (TNG),Port Tanger Ville,2024-08-14,11,2024-08-14,12,15.69,61.92
202,6769,135,279,Rabat-Salé (RBA),Hay Riad,2024-03-20,16,2024-03-20,16,10.76,44.66
203,4597,156,106,Fes (FEZ),Ville Nouvelle,2024-06-20,11,2024-06-20,12,15.17,60.1
204,8586,79,126,Casablanca (CMN),Bouskoura,2024-03-27,12,2024-03-27,13,23.94,90.79
205,4528,300,282,Marrakech (RAK),Gueliz,2024-03-18,12,2024-03-18,12,8.07,35.25
206,8675,164,21,Tangier (TNG),Cap Spartel,2024-06-05,20,2024-06-05,21,18.65,72.27
207,5337,140,204,Fes (FEZ),Saiss district,2024-10-01,6,2024-10-01,6,4.77,23.7
208,8378,61,169,Tangier (TNG),Gzenaya,2024-09-09,0,2024-09-09,0,7.3,32.55
209,7352,191,123,Nador (NDR),Beni Ensar,2024-03-04,11,2024-03-04,12,31.07,115.74
210,6699,252,93,Laayoune (EUN),Al Wahda,2024-05-19,10,2024-05-19,11,9.72,41.02
211,3341,45,8,Agadir (AGA),Ait Melloul,2024-02-28,2,2024-02-28,3,12.2,49.7
212,9622,274,260,Agadir (AGA),Ait Melloul,2024-07-15,21,2024-07-15,22,10.07,42.24
213,8901,201,100,Oujda (OUD),Al Qods,2024-06-12,11,2024-06-12,12,10.6,44.1
214,1502,279,38,Agadir (AGA),Taghazout,2024-02-06,11,2024-02-06,12,40.64,149.24
215,8565,134,89,Tangier (TNG),Malabata,2024-05-19,14,2024-05-19,14,14.45,57.58
216,5875,258,20,Dakhla (VIL),Port Dakhla,2024-04-10,22,2024-04-10,22,7.45,33.08
217,9482,184,274,Dakhla (VIL),Port Dakhla,2024-08-03,9,2024-08-03,9,7.85,34.47
218,3073,181,236,Rabat-Salé (RBA),Agdal,2024-06-30,5,2024-06-30,5,13.2,53.2
219,6181,202,80,Fes (FEZ),Saiss district,2024-08-04,2,2024-08-04,2,3.26,18.41
220,8908,158,91,Tangier (TNG),Port Tanger Ville,2024-06-09,18,2024-06-09,19,18.09,70.32
221,3036,215,17,Dakhla (VIL),PK25,2024-04-04,22,2024-04-04,23,28.66,107.31
222,5114,212,168,Marrakech (RAK),Gueliz,2024-09-10,23,2024-09-10,23,7.86,34.51
223,2404,241,289,Rabat-Salé (RBA),Salé Center,2024-09-12,8,2024-09-12,9,14.95,59.32
224,1996,25,226,Dakhla (VIL),PK25,2024-03-14,23,2024-03-15,0,26.58,100.03
225,5943,71,167,Dakhla (VIL),PK25,2024-07-17,18,2024-07-17,19,29.41,109.94
226,2774,106,296,Oujda (OUD),Al Qods,2024-08-20,21,2024-08-20,21,13.52,54.32
227,1241,159,179,Laayoune (EUN),Al Wahda,2024-07-27,13,2024-07-27,13,10.69,44.42
228,2242,157,283,Agadir (AGA),Talborjt,2024-02-08,12,2024-02-08,12,27.67,103.84
229,4488,203,114,Oujda (OUD),Al Qods,2024-05-03,14,2024-05-03,15,12.82,51.87
230,4480,151,37,Tangier (TNG),Port Tanger Ville,2024-04-04,18,2024-04-04,19,17.5,68.25
231,9769,201,100,Casablanca (CMN),Mohammedia,2024-06-07,0,2024-06-07,1,28.13,105.46
232,3681,287,216,Marrakech (RAK),Targa,2024-07-12,8,2024-07-12,9,13.61,54.64
233,5880,22,48,Rabat-Salé (RBA),Hay Riad,2024-03-19,23,2024-03-19,23,13.87,55.54
234,7882,298,22,Agadir (AGA),Inezgane,2024-01-21,14,2024-01-21,15,20.1,77.35
235,2912,285,253,Agadir (AGA),Ait Melloul,2024-01-02,1,2024-01-02,2,16.22,63.77
236,7644,108,252,Casablanca (CMN),Mohammedia,2024-02-29,4,2024-02-29,5,31.88,118.58
237,860,113,37,Rabat-Salé (RBA),Temara,2024-07-16,17,2024-07-16,18,25.2,95.2
238,4067,257,148,Fes (FEZ),Batha,2024-03-27,12,2024-03-27,13,15.86,62.51
239,4482,29,226,Casablanca (CMN),Anfa,2024-03-07,21,2024-03-07,23,36.5,134.75
240,2079,5,138,Oujda (OUD),Al Qods,2024-03-04,1,2024-03-04,1,12.29,50.02
241,5319,25,226,Oujda (OUD),Berkane,2024-06-25,11,2024-06-25,12,59.02,213.57
242,2472,159,179,Marrakech (RAK),Medina,2024-08-28,22,2024-08-28,22,6.37,29.3
243,2719,117,33,Tangier (TNG),Cap Spartel,2024-02-26,8,2024-02-26,8,15.84,62.44
244,9503,280,97,Casablanca (CMN),Maarif,2024-02-11,8,2024-02-11,9,29.75,111.12
245,2312,211,111,Marrakech (RAK),Gueliz,2024-09-11,3,2024-09-11,3,7.34,32.69
246,2000,273,30,Casablanca (CMN),Anfa,2024-03-31,20,2024-03-31,21,36.73,135.55
247,681,183,82,Fes (FEZ),Ville Nouvelle,2024-05-07,22,2024-05-07,23,14.4,57.4
248,4629,133,271,Casablanca (CMN),Maarif,2024-02-03,22,2024-02-03,23,20.44,78.54
249,9136,209,142,Dakhla (VIL),Port Dakhla,2024-02-03,14,2024-02-03,14,6.28,28.98
250,8228,297,40,Oujda (OUD),Berkane,2024-06-29,23,2024-06-30,0,58.28,210.98
251,6035,121,198,Fes (FEZ),Ville Nouvelle,2024-06-20,23,2024-06-20,23,14.35,57.22
252,919,270,114,Laayoune (EUN),Al Wahda,2024-03-17,12,2024-03-17,13,8.35,36.22
253,85,279,38,Rabat-Salé (RBA),Temara,2024-06-08,1,2024-06-08,2,25.86,97.51
254,9085,138,235,Dakhla (VIL),PK25,2024-06-07,8,2024-06-07,10,31.44,117.04
255,4806,56,224,Oujda (OUD),Al Qods,2024-06-08,23,2024-06-08,23,10.95,45.32
256,2536,5,138,Tangier (TNG),Port Tanger Ville,2024-04-29,5,2024-04-29,5,15.25,60.38
257,8092,226,66,Nador (NDR),Selouane,2024-05-09,4,2024-05-09,4,11.69,47.92
258,8816,264,63,Casablanca (CMN),Anfa,2024-07-02,16,2024-07-02,17,28.01,105.04
259,4312,256,108,Dakhla (VIL),Port Dakhla,2024-08-14,10,2024-08-14,10,6.17,28.6
260,1120,196,235,Nador (NDR),Selouane,2024-03-06,9,2024-03-06,9,11.09,45.82
261,2381,44,184,Marrakech (RAK),Targa,2024-05-25,8,2024-05-25,8,9.91,41.68
262,1459,57,145,Marrakech (RAK),Palmeraie,2024-02-09,18,2024-02-09,18,12.51,50.78
263,8810,91,195,Oujda (OUD),Lazaret,2024-07-23,11,2024-07-23,12,17.2,67.2
264,5335,24,37,Agadir (AGA),Ait Melloul,2024-04-20,16,2024-04-20,16,12.45,50.58
265,1389,191,123,Tangier (TNG),Gzenaya,2024-01-14,0,2024-01-14,0,9.95,41.82
266,2050,189,119,Casablanca (CMN),Anfa,2024-01-24,2,2024-01-24,3,33.14,122.99
267,3530,172,238,Fes (FEZ),Saiss district,2024-07-14,16,2024-07-14,16,4.17,21.6
268,9175,200,12,Agadir (AGA),Inezgane,2024-07-25,13,2024-07-25,14,19.29,74.52
269,726,186,188,Marrakech (RAK),Gueliz,2024-01-01,16,2024-01-01,16,5.2,25.2
270,1703,41,228,Fes (FEZ),Ville Nouvelle,2024-09-16,1,2024-09-16,2,14.58,58.03
271,3422,17,80,Marrakech (RAK),Gueliz,2024-01-20,2,2024-01-20,3,9.5,40.25
272,2287,38,98,Rabat-Salé (RBA),Agdal,2024-05-10,9,2024-05-10,9,14.65,58.28
273,5032,87,276,Nador (NDR),Selouane,2024-03-09,14,2024-03-09,15,10.55,43.92
