vehicle_id,make,model,year,capacity
81,Dacia,Logan,2013,5
82,Toyota,Corolla,2016,5
83,Peugeot,301,2019,5
84,Fiat,Tipo,2023,5
85,Ford,Fiesta,2016,5
86,Fiat,Tipo,2011,5
87,Dacia,Logan,2022,5
88,Renault,Clio,2018,5
89,Peugeot,208,2022,5
90,Renault,Kangoo,2010,5
91,Dacia,Logan,2020,5
92,Renault,Kangoo,2011,5
93,Citroen,C3,2018,5
94,Dacia,Lodgy,2019,7
95,Hyundai,i10,2014,5
96,Renault,Kangoo,2017,5
97,Volkswagen,Caddy,2021,5
98,Peugeot,301,2019,5
99,Renault,Clio,2011,5
100,Toyota,Corolla,2024,5
101,Renault,Clio,2018,5
102,Fiat,Tipo,2016,5
103,Citroen,C3,2020,5
104,Citroen,Berlingo,2016,5
105,Renault,Kangoo,2014,5
106,Peugeot,Partner,2010,5
107,Citroen,C3,2017,5
108,Ford,Fiesta,2022,5
109,Fiat,Tipo,2019,5
110,Mercedes-Benz,E-Class,2024,5
111,Hyundai,i10,2020,5
112,Renault,Clio,2017,5
113,Renault,Kangoo,2015,5
114,Peugeot,301,2020,5
115,Hyundai,i10,2018,5
116,Fiat,Doblo,2019,5
117,Hyundai,i10,2017,5
118,Dacia,Lodgy,2020,7
119,Renault,Kangoo,2016,5
120,Hyundai,Accent,2016,5
121,Citroen,Berlingo,2024,5
122,Fiat,Doblo,2018,5
123,Hyundai,Accent,2012,5
124,Peugeot,208,2012,5
125,Mercedes-Benz,E-Class,2010,5
126,Dacia,Logan,2021,5
127,Hyundai,Accent,2011,5
128,Dacia,Sandero,2011,5
129,Dacia,Lodgy,2016,7
130,Peugeot,Partner,2024,5
131,Dacia,Lodgy,2012,7
132,Citroen,Berlingo,2022,5
133,Hyundai,Accent,2019,5
134,Dacia,Logan,2013,5
135,Mercedes-Benz,E-Class,2018,5
136,Renault,Clio,2016,5
137,Dacia,Sandero,2020,5
138,Volkswagen,Golf,2023,5
139,Toyota,Corolla,2011,5
140,Volkswagen,Golf,2023,5
141,Kia,Picanto,2013,4
142,Kia,Picanto,2019,4
143,Renault,Kangoo,2015,5
144,Fiat,Tipo,2010,5
145,Dacia,Sandero,2022,5
146,Citroen,C3,2018,5
147,Dacia,Sandero,2013,5
148,Renault,Kangoo,2014,5
149,Hyundai,Accent,2021,5
150,Hyundai,i10,2016,5
151,Citroen,Berlingo,2021,5
152,Volkswagen,Caddy,2022,5
153,Citroen,Berlingo,2018,5
154,Hyundai,Accent,2015,5
155,Dacia,Logan,2021,5
156,Dacia,Sandero,2019,5
157,Kia,Picanto,2022,4
158,Volkswagen,Caddy,2019,5
159,Volkswagen,Golf,2013,5
160,Mercedes-Benz,240D,2019,6
161,Renault,Clio,2023,5
162,Hyundai,i10,2010,5
163,Dacia,Sandero,2021,5
164,Mercedes-Benz,240D,2020,6
165,Dacia,Logan,2022,5
166,Fiat,Doblo,2022,5
167,Fiat,Doblo,2023,5
168,Mercedes-Benz,240D,2020,6
169,Kia,Picanto,2019,4
170,Citroen,Berlingo,2010,5
171,Dacia,Logan,2013,5
172,Citroen,C3,2021,5
173,Volkswagen,Golf,2014,5
174,Toyota,Corolla,2021,5
175,Peugeot,208,2018,5
176,Ford,Fiesta,2023,5
177,Ford,Fiesta,2017,5
178,Dacia,Lodgy,2022,7
179,Hyundai,Accent,2022,5
180,Volkswagen,Golf,2019,5
181,Renault,Kangoo,2013,5
182,Kia,Picanto,2017,4
183,Fiat,Doblo,2011,5
184,Renault,Clio,2020,5
185,Peugeot,301,2014,5
186,Dacia,Sandero,2022,5
187,Fiat,Doblo,2019,5
188,Fiat,Tipo,2017,5
189,Mercedes-Benz,240D,2021,6
190,Dacia,Lodgy,2012,7
191,Renault,Clio,2016,5
192,Hyundai,i10,2016,5
193,Fiat,Tipo,2022,5
194,Toyota,Corolla,2021,5
195,Mercedes-Benz,E-Class,2024,5
196,Citroen,Berlingo,2024,5
197,Fiat,Tipo,2018,5
198,Dacia,Lodgy,2024,7
199,Renault,Kangoo,2013,5
200,Fiat,Tipo,2015,5
201,Ford,Fiesta,2019,5
202,Mercedes-Benz,240D,2020,6
203,Dacia,Logan,2019,5
204,Mercedes-Benz,E-Class,2014,5
205,Peugeot,208,2012,5
206,Dacia,Sandero,2014,5
207,Peugeot,301,2011,5
208,Mercedes-Benz,E-Class,2015,5
209,Renault,Clio,2013,5
210,Peugeot,208,2023,5
211,Mercedes-Benz,E-Class,2014,5
212,Citroen,Berlingo,2018,5
213,Peugeot,Partner,2021,5
214,Dacia,Sandero,2011,5
215,Mercedes-Benz,E-Class,2011,5
216,Ford,Fiesta,2011,5
217,Fiat,Doblo,2019,5
218,Fiat,Doblo,2015,5
219,Volkswagen,Golf,2024,5
220,Hyundai,i10,2021,5
221,Dacia,Lodgy,2016,7
222,Mercedes-Benz,240D,2023,6
223,Fiat,Doblo,2012,5
224,Mercedes-Benz,E-Class,2015,5
225,Citroen,Berlingo,2017,5
226,Peugeot,301,2021,5
227,Peugeot,208,2021,5
228,Mercedes-Benz,E-Class,2015,5
229,Volkswagen,Caddy,2018,5
230,Renault,Clio,2012,5
231,Peugeot,301,2020,5
232,Dacia,Logan,2012,5
233,Volkswagen,Golf,2019,5
234,Renault,Clio,2015,5
235,Renault,Kangoo,2015,5
236,Dacia,Lodgy,2010,7
237,Peugeot,Partner,2020,5
238,Renault,Kangoo,2010,5
239,Fiat,Doblo,2014,5
240,Dacia,Sandero,2016,5
241,Ford,Fiesta,2012,5
242,Volkswagen,Caddy,2013,5
243,Citroen,C3,2019,5
244,Peugeot,301,2017,5
245,Citroen,Berlingo,2016,5
246,Dacia,Lodgy,2020,7
247,Volkswagen,Golf,2014,5
248,Volkswagen,Caddy,2010,5
249,Peugeot,Partner,2016,5
250,Hyundai,i10,2013,5
251,Peugeot,301,2016,5
252,Dacia,Lodgy,2013,7
253,Fiat,Tipo,2015,5
254,Peugeot,Partner,2014,5
255,Volkswagen,Caddy,2010,5
256,Peugeot,301,2024,5
257,Renault,Clio,2022,5
258,Hyundai,i10,2021,5
259,Citroen,Berlingo,2023,5
260,Toyota,Corolla,2016,5
261,Renault,Clio,2024,5
262,Citroen,Berlingo,2010,5
263,Toyota,Corolla,2014,5
264,Fiat,Doblo,2016,5
265,Fiat,Tipo,2012,5
266,Dacia,Lodgy,2015,7
267,Fiat,Tipo,2013,5
268,Volkswagen,Caddy,2022,5
269,Mercedes-Benz,240D,2020,6
270,Dacia,Logan,2019,5
271,Peugeot,208,2024,5
272,Dacia,Sandero,2016,5
273,Fiat,Tipo,2011,5
274,Mercedes-Benz,E-Class,2013,5
275,Hyundai,Accent,2012,5
276,Fiat,Doblo,2022,5
277,Hyundai,i10,2024,5
278,Peugeot,Partner,2021,5
279,Toyota,Corolla,2013,5
280,Dacia,Logan,2022,5
281,Citroen,Berlingo,2013,5
282,Dacia,Sandero,2011,5
283,Ford,Fiesta,2010,5
284,Volkswagen,Golf,2011,5
285,Volkswagen,Golf,2023,5
286,Kia,Picanto,2022,4
287,Peugeot,Partner,2014,5
288,Renault,Clio,2023,5
289,Renault,Clio,2020,5
290,Citroen,Berlingo,2015,5
291,Kia,Picanto,2021,4
292,Ford,Fiesta,2016,5
293,Fiat,Doblo,2012,5
294,Fiat,Doblo,2020,5
295,Kia,Picanto,2019,4
296,Toyota,Corolla,2012,5
297,Dacia,Sandero,2021,5
298,Mercedes-Benz,240D,2019,6
299,Renault,Clio,2021,5
300,Toyota,Corolla,2020,5
